task_id,source_tool_id,mutation_types,expected_flags,predicted_flags,expected_primary_status,raw_primary_status,derived_primary_status,expected_action,raw_action,derived_action,strict_schema_valid,flags_well_formed,action_well_formed,primary_status_well_formed,flags_exact,flags_jaccard,raw_action_correct,derived_primary_correct,derived_action_correct,error_types
E2P-A002-02,A002,remove_required_parameter,missing_parameter,missing_parameter,missing_or_ambiguous_input,missing_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A002-03,A002,make_parameter_ambiguous,ambiguous_parameter,ambiguous_parameter,missing_or_ambiguous_input,ambiguous_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A002-04,A002,contract_out_of_domain,contract_defined_out_of_domain,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A002-05,A002,unsupported_system,contract_defined_unsupported_system,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,False,0.0,True,True,True,strict_schema_invalid|primary_status_mapping_error|flags_mismatch
E2P-A002-06,A002,unavailable_tool,unavailable,unavailable,unavailable,unavailable,unavailable,refuse,refuse,refuse,True,True,True,True,True,1.0,True,True,True,none
E2P-A002-07,A002,version_mismatch,version_mismatch,version_mismatch,contract_out_of_domain_or_unsupported,version_mismatch,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A002-08,A002,remove_required_parameter+unavailable_tool,missing_parameter|unavailable,missing_parameter|unavailable,missing_or_ambiguous_input,missing_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A002-09,A002,make_parameter_ambiguous+contract_out_of_domain,ambiguous_parameter|contract_defined_out_of_domain,contract_defined_out_of_domain,missing_or_ambiguous_input,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,clarify,refuse,refuse,False,True,True,False,False,0.5,False,False,False,strict_schema_invalid|primary_status_mapping_error|flags_mismatch|action_mismatch
E2P-A002-10,A002,contract_out_of_domain+unavailable_tool,contract_defined_out_of_domain|unavailable,contract_defined_out_of_domain|unavailable,contract_out_of_domain_or_unsupported,refuse,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A003-01,A003,ready,,,ready,ready,ready,call,call,call,True,True,True,True,True,1.0,True,True,True,none
E2P-A003-02,A003,remove_required_parameter,missing_parameter,missing_parameter,missing_or_ambiguous_input,missing_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A003-03,A003,make_parameter_ambiguous,ambiguous_parameter,ambiguous_parameter,missing_or_ambiguous_input,ambiguous_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A003-04,A003,contract_out_of_domain,contract_defined_out_of_domain,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A003-05,A003,unsupported_system,contract_defined_unsupported_system,contract_defined_unsupported_system,contract_out_of_domain_or_unsupported,contract_defined_unsupported_system,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A003-06,A003,unavailable_tool,unavailable,unavailable,unavailable,unavailable,unavailable,refuse,refuse,refuse,True,True,True,True,True,1.0,True,True,True,none
E2P-A003-07,A003,version_mismatch,version_mismatch,version_mismatch,contract_out_of_domain_or_unsupported,version_mismatch,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A003-08,A003,remove_required_parameter+unavailable_tool,missing_parameter|unavailable,unavailable,missing_or_ambiguous_input,unavailable,unavailable,clarify,refuse,refuse,True,True,True,True,False,0.5,False,False,False,flags_mismatch|action_mismatch
E2P-A003-09,A003,make_parameter_ambiguous+contract_out_of_domain,ambiguous_parameter|contract_defined_out_of_domain,contract_defined_out_of_domain,missing_or_ambiguous_input,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,clarify,refuse,refuse,False,True,True,False,False,0.5,False,False,False,strict_schema_invalid|primary_status_mapping_error|flags_mismatch|action_mismatch
E2P-A003-10,A003,contract_out_of_domain+unavailable_tool,contract_defined_out_of_domain|unavailable,contract_defined_out_of_domain|unavailable,contract_out_of_domain_or_unsupported,refuse,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A004-01,A004,ready,,,ready,ready,ready,call,call,call,True,True,True,True,True,1.0,True,True,True,none
E2P-A004-02,A004,remove_required_parameter,missing_parameter,missing_parameter,missing_or_ambiguous_input,missing_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A004-03,A004,make_parameter_ambiguous,ambiguous_parameter,ambiguous_parameter,missing_or_ambiguous_input,ambiguous_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A004-04,A004,contract_out_of_domain,contract_defined_out_of_domain,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A004-05,A004,unsupported_system,contract_defined_unsupported_system,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,False,0.0,True,True,True,strict_schema_invalid|primary_status_mapping_error|flags_mismatch
E2P-A004-06,A004,unavailable_tool,unavailable,unavailable,unavailable,unavailable,unavailable,refuse,refuse,refuse,True,True,True,True,True,1.0,True,True,True,none
E2P-A004-07,A004,version_mismatch,version_mismatch,version_mismatch,contract_out_of_domain_or_unsupported,version_mismatch,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-A004-08,A004,remove_required_parameter+unavailable_tool,missing_parameter|unavailable,missing_parameter|unavailable,missing_or_ambiguous_input,unavailable,missing_or_ambiguous_input,clarify,refuse,clarify,True,True,True,True,True,1.0,False,True,True,action_mismatch
E2P-A004-09,A004,make_parameter_ambiguous+contract_out_of_domain,ambiguous_parameter|contract_defined_out_of_domain,ambiguous_parameter,missing_or_ambiguous_input,ambiguous_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,False,0.5,True,True,True,strict_schema_invalid|primary_status_mapping_error|flags_mismatch
E2P-A004-10,A004,contract_out_of_domain+unavailable_tool,contract_defined_out_of_domain|unavailable,contract_defined_out_of_domain|unavailable,contract_out_of_domain_or_unsupported,refuse,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-B019-01,B019,ready,,,ready,ready,ready,call,call,call,True,True,True,True,True,1.0,True,True,True,none
E2P-B019-02,B019,remove_required_parameter,missing_parameter,missing_parameter,missing_or_ambiguous_input,missing_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-B019-03,B019,make_parameter_ambiguous,ambiguous_parameter,ambiguous_parameter,missing_or_ambiguous_input,ambiguous_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-B019-04,B019,contract_out_of_domain,contract_defined_out_of_domain,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-B019-05,B019,unsupported_system,contract_defined_unsupported_system,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,False,0.0,True,True,True,strict_schema_invalid|primary_status_mapping_error|flags_mismatch
E2P-B019-06,B019,unavailable_tool,unavailable,unavailable,unavailable,unavailable,unavailable,refuse,refuse,refuse,True,True,True,True,True,1.0,True,True,True,none
E2P-B019-07,B019,version_mismatch,version_mismatch,version_mismatch,contract_out_of_domain_or_unsupported,version_mismatch,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-B019-08,B019,remove_unit,missing_parameter,missing_parameter,missing_or_ambiguous_input,missing_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-B019-09,B019,make_unit_ambiguous,ambiguous_parameter,ambiguous_parameter,missing_or_ambiguous_input,ambiguous_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-B019-10,B019,unsupported_phase,contract_defined_unsupported_system,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,refuse,refuse,refuse,False,True,True,False,False,0.0,True,True,True,strict_schema_invalid|primary_status_mapping_error|flags_mismatch
E2P-B019-11,B019,remove_required_parameter+unavailable_tool,missing_parameter|unavailable,missing_parameter|unavailable,missing_or_ambiguous_input,missing_parameter,missing_or_ambiguous_input,clarify,clarify,clarify,False,True,True,False,True,1.0,True,True,True,strict_schema_invalid|primary_status_mapping_error
E2P-B019-12,B019,make_parameter_ambiguous+contract_out_of_domain,ambiguous_parameter|contract_defined_out_of_domain,contract_defined_out_of_domain,missing_or_ambiguous_input,contract_defined_out_of_domain,contract_out_of_domain_or_unsupported,clarify,refuse,refuse,False,True,True,False,False,0.5,False,False,False,strict_schema_invalid|primary_status_mapping_error|flags_mismatch|action_mismatch
E2P-B019-13,B019,contract_out_of_domain+unavailable_tool,contract_defined_out_of_domain|unavailable,unavailable,contract_out_of_domain_or_unsupported,unavailable,unavailable,refuse,refuse,refuse,True,True,True,True,False,0.5,True,False,True,flags_mismatch
