source_r1_cell_id,r11_cell_id,task_id,pair_variant,tool_pool_size,pool_repeat,r1_error_type,r11_error_type,r1_selected_tool_id,r11_selected_tool_id,r1_primary_endpoint_hit,r11_primary_endpoint_hit,delta_primary_endpoint_hit,r1_family_hit,r11_family_hit,delta_family_hit,r1_scientific_hit,r11_scientific_hit,delta_scientific_hit,r1_arguments_exact,r11_arguments_exact,delta_arguments_exact,r1_primary_end_to_end,r11_primary_end_to_end,delta_primary_end_to_end,r1_scientific_end_to_end,r11_scientific_end_to_end,delta_scientific_end_to_end,r1_failure_recovered_end_to_end
A002-A003-FS-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-H2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-H2SO4-ELEMENTS,element_stoichiometry,120,A,invalid_arguments_json,none,A002,A002,True,True,0,True,True,0,True,True,0,False,True,1,False,True,1,False,True,1,True
A002-A003-FS-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-H2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-H2SO4-ELEMENTS,element_stoichiometry,120,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-H2SO4-MOLAR-MASS,molar_mass,17,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-H2SO4-MOLAR-MASS,molar_mass,17,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-H2SO4-MOLAR-MASS,molar_mass,120,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-H2SO4-MOLAR-MASS,molar_mass,120,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CACO3-ELEMENTS,element_stoichiometry,17,A,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CACO3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CACO3-ELEMENTS,element_stoichiometry,17,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CACO3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CACO3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CACO3-ELEMENTS,element_stoichiometry,120,A,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CACO3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CACO3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CACO3-ELEMENTS,element_stoichiometry,120,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CACO3-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CACO3-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CACO3-MOLAR-MASS,molar_mass,17,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CACO3-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CACO3-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CACO3-MOLAR-MASS,molar_mass,17,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CACO3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CACO3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CACO3-MOLAR-MASS,molar_mass,120,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CACO3-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CACO3-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CACO3-MOLAR-MASS,molar_mass,120,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CUSO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CUSO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CUSO4-ELEMENTS,element_stoichiometry,17,A,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CUSO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CUSO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CUSO4-ELEMENTS,element_stoichiometry,17,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CUSO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CUSO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CUSO4-ELEMENTS,element_stoichiometry,120,A,no_single_tool_call_length,none,,A002,False,True,1,False,True,1,False,True,1,False,True,1,False,True,1,False,True,1,True
A002-A003-FS-R1-E3-MP-CUSO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CUSO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CUSO4-ELEMENTS,element_stoichiometry,120,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CUSO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CUSO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CUSO4-MOLAR-MASS,molar_mass,17,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CUSO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CUSO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CUSO4-MOLAR-MASS,molar_mass,17,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CUSO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CUSO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CUSO4-MOLAR-MASS,molar_mass,120,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CUSO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CUSO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CUSO4-MOLAR-MASS,molar_mass,120,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-NH4_2SO4-ELEMENTS,element_stoichiometry,17,A,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-NH4_2SO4-ELEMENTS,element_stoichiometry,17,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-NH4_2SO4-ELEMENTS,element_stoichiometry,120,A,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-NH4_2SO4-ELEMENTS,element_stoichiometry,120,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-NH4_2SO4-MOLAR-MASS,molar_mass,17,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-NH4_2SO4-MOLAR-MASS,molar_mass,17,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-NH4_2SO4-MOLAR-MASS,molar_mass,120,A,no_single_tool_call_length,none,,A003,False,True,1,False,True,1,False,True,1,False,True,1,False,True,1,False,True,1,True
A002-A003-FS-R1-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-NH4_2SO4-MOLAR-MASS,molar_mass,120,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CA_OH_2-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CA_OH_2-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CA_OH_2-ELEMENTS,element_stoichiometry,17,A,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CA_OH_2-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CA_OH_2-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CA_OH_2-ELEMENTS,element_stoichiometry,17,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CA_OH_2-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CA_OH_2-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CA_OH_2-ELEMENTS,element_stoichiometry,120,A,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CA_OH_2-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CA_OH_2-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CA_OH_2-ELEMENTS,element_stoichiometry,120,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CA_OH_2-MOLAR-MASS,molar_mass,17,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CA_OH_2-MOLAR-MASS,molar_mass,17,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CA_OH_2-MOLAR-MASS,molar_mass,120,A,no_single_tool_call_length,none,,A003,False,True,1,False,True,1,False,True,1,False,True,1,False,True,1,False,True,1,True
A002-A003-FS-R1-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CA_OH_2-MOLAR-MASS,molar_mass,120,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-ELEMENTS,element_stoichiometry,17,A,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-ELEMENTS,element_stoichiometry,17,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-ELEMENTS,element_stoichiometry,120,A,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-ELEMENTS,element_stoichiometry,120,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,molar_mass,17,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,molar_mass,17,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,molar_mass,120,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,molar_mass,120,B,no_single_tool_call_length,none,,A003,False,True,1,False,True,1,False,True,1,False,True,1,False,True,1,False,True,1,True
A002-A003-FS-R1-E3-MP-FES-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-FES-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-FES-ELEMENTS,element_stoichiometry,17,A,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-FES-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-FES-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-FES-ELEMENTS,element_stoichiometry,17,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-FES-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-FES-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-FES-ELEMENTS,element_stoichiometry,120,A,no_single_tool_call_length,none,,A002,False,True,1,False,True,1,False,True,1,False,True,1,False,True,1,False,True,1,True
A002-A003-FS-R1-E3-MP-FES-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-FES-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-FES-ELEMENTS,element_stoichiometry,120,B,none,none,A002,A002,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-FES-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-FES-MOLAR-MASS,molar_mass,17,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-FES-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-FES-MOLAR-MASS,molar_mass,17,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-FES-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-FES-MOLAR-MASS,molar_mass,120,A,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
A002-A003-FS-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,A002-A003-FS-R11-E3-MP-FES-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-FES-MOLAR-MASS,molar_mass,120,B,none,none,A003,A003,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,True,True,0,False
