sequence,cell_id,task_id,pair_id,pair_variant,source_pool_view_id,tool_pool_size,pool_repeat,method,selected_tool_id,transport_accepted,exactly_one_tool_call,arguments_json_valid,arguments_exact,primary_endpoint_hit,family_hit,alternative_hit,scientific_hit,primary_end_to_end,scientific_end_to_end,finish_reason,tool_call_count,provider_error,error_type,reasoning_content_observed,api_latency_ms,model_run_repeat,repeat_unit_id
11,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1184.1998,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2
12,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1162.4486,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2
13,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1400.5476,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2
14,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,748.909,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2
15,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,923.4268,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2
16,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,871.4941,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2
17,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1250.1025,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2
18,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,850.9335,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2
19,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,765.6907,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2
20,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1247.6425,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2
21,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1348.8041,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2
22,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1137.0609,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2
23,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,914.6559,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2
24,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,824.2309,R1,A002-A003-TOP5-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2
25,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1490.7985,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2
26,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,765.4276,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2
27,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,631.9287,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2
28,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1440.1558,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2
29,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,814.1009,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2
30,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,965.3486,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2
31,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,935.318,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2
32,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1042.1848,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2
33,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1736.3775,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2
34,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,917.4174,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2
35,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,976.9309,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2
36,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,906.8141,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2
37,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1226.3053,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2
38,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,982.8161,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2
39,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,942.9947,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2
40,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,953.615,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-LEXICAL_TOP5-V2
41,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,813.8386,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-DENSE_TOP5-V2
42,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,808.4046,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1-HIERARCHICAL-V2
43,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1184.4317,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-LEXICAL_TOP5-V2
44,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,918.345,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-DENSE_TOP5-V2
45,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1152.2984,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1-HIERARCHICAL-V2
46,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,lexical_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,850.3557,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-LEXICAL_TOP5-V2
47,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,dense_top5,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,768.8375,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-DENSE_TOP5-V2
48,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,hierarchical,A003,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1238.3828,R1,A002-A003-TOP5-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1-HIERARCHICAL-V2
49,A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,lexical_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,940.0489,R1,A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-LEXICAL_TOP5-V2
50,A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,dense_top5,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1006.2016,R1,A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-DENSE_TOP5-V2
51,A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,hierarchical,A002,True,True,True,True,True,True,False,True,True,True,tool_calls,1,,none,False,1237.937,R1,A002-A003-TOP5-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1-HIERARCHICAL-V2
